NYC subway

http://en.wikipedia.org/wiki/New_York_City_Subway

Line 1

West Fourth Street–Washington Square		Spring Street
Spring Street 		      			Canal Street
Canal Street 					World Trade Center

Line F

Jamaica–179th Street				169th Street
169th Street 					Parsons Boulevard
Parsons Boulevard 				Sutphin Boulevard
Sutphin Boulevard 				Briarwood–Van Wyck Boulevard
Briarwood–Van Wyck Boulevard			Kew Gardens–Union Turnpike 		
Kew Gardens–Union Turnpike			75th Avenue
75th Avenue 	  				Forest Hills–71st Avenue
Forest Hills–71st Avenue			Jackson Heights–Roosevelt Avenue
Jackson Heights–Roosevelt Avenue		21st Street–Queensbridge
21st Street–Queensbridge  			Roosevelt Island
Roosevelt Island				Lexington Avenue–63rd Street
Lexington Avenue–63rd Street			57th Street
57th Street 					47th–50th Streets–Rockefeller Center
47th–50th Streets–Rockefeller Center 		42nd Street–Bryant Park
42nd Street–Bryant Park	      			34th Street–Herald Square
34th Street–Herald Square			23rd Street
23rd Street 					14th Street
14th Street 					West Fourth Street–Washington Square
West Fourth Street–Washington Square		Broadway–Lafayette Street
Broadway–Lafayette Street     			Lower East Side–Second Avenue
Lower East Side–Second Avenue			Delancey Street 
Delancey Street        				East Broadway
East Broadway 					York Street
York Street 					Jay Street–Borough Hall 	
Jay Street–Borough Hall 			Bergen Street
Bergen Street 					Carroll Street
Carroll Street 					Smith–Ninth Streets
Smith–Ninth Streets 				Fourth Avenue
Fourth Avenue					Seventh Avenue
Seventh Avenue 					15th Street–Prospect Park
15th Street–Prospect Park 			Fort Hamilton Parkway	
Fort Hamilton Parkway				Church Avenue 			
Church Avenue 					Ditmas Avenue
Ditmas Avenue 					18th Avenue
18th Avenue 					Avenue I
Avenue I 					Bay Parkway
Bay Parkway 					Avenue N
Avenue N 					Avenue P
Avenue P 					Kings Highway
Kings Highway 					Avenue U
Avenue U 					Avenue X
Avenue X 					Neptune Avenue
Neptune Avenue 					West Eighth Street–New York Aquarium
West Eighth Street–New York Aquarium		Coney Island–Stillwell Avenue

Line G

Forest Hills–71st Avenue			67th Avenue
67th Avenue	  				63rd Drive–Rego Park
63rd Drive–Rego Park				Woodhaven Boulevard
Woodhaven Boulevard				Grand Avenue–Newtown
Grand Avenue–Newtown				Elmhurst Avenue
Elmhurst Avenue					Jackson Heights–Roosevelt Avenue
Jackson Heights–Roosevelt Avenue		65th Street 		
65th Street 		  			Northern Boulevard
Northern Boulevard 				46th Street
46th Street 					Steinway Street
Steinway Street 				36th Street
36th Street 					Queens Plaza		
Queens Plaza					Long Island City–Court Square
Long Island City–Court Square			21st Street
21st Street 					Greenpoint Avenue
Greenpoint Avenue 				Nassau Avenue	
Nassau Avenue 					Metropolitan Avenue 		
Metropolitan Avenue 				Broadway
Broadway 					Flushing Avenue
Flushing Avenue 				Myrtle–Willoughby Avenues
Myrtle–Willoughby Avenues 			Bedford–Nostrand Avenues
Bedford–Nostrand Avenues 			Classon Avenue		
Classon Avenue 					Clinton–Washington Avenues
Clinton–Washington Avenues			Fulton Street 			
Fulton Street 					Hoyt–Schermerhorn Streets
Hoyt–Schermerhorn Streets			Bergen Street 		
Bergen Street 					Carroll Street
Carroll Street 					Smith–Ninth Streets

Line J/Z

Jamaica Center–Parsons/Archer			Sutphin Boulevard–Archer Avenue–JFK Airport
Sutphin Boulevard–Archer Avenue–JFK Airport	121st Street
121st Street 			    		111th Street
111th Street 					104th Street
104th Street 					Woodhaven Boulevard
Woodhaven Boulevard 				85th Street–Forest Parkway
85th Street–Forest Parkway 			75th Street		
75th Street 					Cypress Hills
Cypress Hills 					Crescent Street			
Crescent Street					Norwood Avenue
Norwood Avenue 					Cleveland Street
Cleveland Street 				Van Siclen Avenue
Van Siclen Avenue 				Alabama Avenue	
Alabama Avenue 					Broadway Junction
Broadway Junction 				Chauncey Street
Chauncey Street 				Halsey Street	
Halsey Street 					Gates Avenue
Gates Avenue 					Kosciuszko Street
Kosciuszko Street 				Myrtle Avenue		
Myrtle Avenue 					Flushing Avenue
Flushing Avenue 				Lorimer Street
Lorimer Street 					Hewes Street
Hewes Street 					Marcy Avenue	
