Name	Latitude	 Longitude	Date	Line
Gangdong	37.535904	127.132244	1995	Line 5
Gil-dong	37.538371	127.14021	1995	Line 5
Gubeundari	37.545492	127.142866	1995	Line 5
Myeongil	37.551535	127.144008	1995	Line 5
Godeok	37.55504	127.154168	1995	Line 5
Sangil-dong	37.556635	127.16574	1995	Line 5
Dunchon-dong	37.527796	127.13623	1996	Line 5
OlympicPark	37.516211	127.130924	1996	Line 5
Bangi	37.508756	127.126091	1996	Line 5
Ogeum	37.502236	127.12769	1996	Line 5
Gaerong	37.498053	127.134814	1996	Line 5
Geoyeo	37.493298	127.143729	1996	Line 5
Macheon	37.494992	127.152768	1996	Line 5
Eungam	37.598622	126.915559	2000	Line 6
Yeokchon	37.606072	126.922726	2000	Line 6
Bulgwang	37.610913	126.929496	2000	Line 6
Dokbawi	37.618455	126.932983	2000	Line 6
Yeonsinnae	37.618825	126.921358	2000	Line 6
Gusan	37.61124	126.917233	2000	Line 6
Eungam	37.598622	126.915559	2000	Line 6
Saejeol	37.591422	126.913692	2000	Line 6
Jeungsan	37.584119	126.909894	2000	Line 6
DigitalMediaCity	37.576874	126.901794	2000	Line 6
WorldCupStadium	37.569459	126.899305	2000	Line 6
Mapo-guOffice	37.563511	126.90328	2000	Line 6
Mangwon	37.556014	126.910082	2000	Line 6
Hapjeong	37.549167	126.913611	2000	Line 6
Sangsu	37.547716	126.922946	2000	Line 6
Gwangheungchang	37.547453	126.931996	2000	Line 6
Daeheung	37.547686	126.942247	2000	Line 6
Gongdeok	37.543876	126.95098	2000	Line 6
HyochangPark	37.539269	126.961344	2000	Line 6
Samgakji	37.535543	126.973956	2000	Line 6
Noksapyeong	37.534722	126.986681	2000	Line 6
Itaewon	37.534444	126.993889	2001	Line 6
Hangangjin	37.539826	127.001712	2001	Line 6
Beotigogae	37.548299	127.006942	2001	Line 6
Yaksu	37.554759	127.010611	2001	Line 6
Cheonggu	37.560211	127.013755	2000	Line 6
Sindang	37.565331	127.016217	2000	Line 6
Dongmyo	37.572963	127.015622	2000	Line 6
Changsin	37.579804	127.015214	2000	Line 6
Bomun	37.585283	127.019377	2000	Line 6
Anam	37.586265	127.029049	2000	Line 6
KoreaUniversity	37.590444	127.036291	2000	Line 6
Wolgok	37.601937	127.041478	2000	Line 6
Sangwolgok	37.606225	127.048194	2000	Line 6
Dolgoji	37.610556	127.056445	2000	Line 6
Seokgye	37.614722	127.065278	2000	Line 6
Taereung	37.617631	127.075617	2000	Line 6
Hwarangdae	37.62007	127.084823	2000	Line 6
Bonghwasan	37.617444	127.091147	2000	Line 6
Jangam	37.702583	127.054964	1996	Line 7
Dobongsan	37.689444	127.045833	1996	Line 7
Suraksan	37.677728	127.055302	1996	Line 7
Madeul	37.665113	127.057625	1996	Line 7
Nowon	37.65439	127.060516	1996	Line 7
Junggye	37.645152	127.064019	1996	Line 7
Hagye	37.636363	127.068011	1996	Line 7
Gongneung	37.625559	127.072973	1996	Line 7
Taereung	37.617631	127.075617	1996	Line 7
Meokgol	37.610624	127.077726	1996	Line 7
Junghwa	37.602562	127.07926	1996	Line 7
Sangbong	37.595706	127.08567	1996	Line 7
Myeonmok	37.588489	127.08751	1996	Line 7
Sagajeong	37.580985	127.088503	1996	Line 7
Yongmasan	37.573652	127.086732	1996	Line 7
Junggok	37.56582	127.084259	1996	Line 7
Gunja	37.557124	127.079469	1996	Line 7
ChildrensGrandPark	37.547725	127.074437	1996	Line 7
KonkukUniversity	37.539933	127.070607	1996	Line 7
TtukseomResort	37.531595	127.066745	2000	Line 7
Cheongdam	37.519087	127.05181	2000	Line 7
Gangnam-guOffice	37.517194	127.041253	2000	Line 7
Hak-dong	37.514287	127.03179	2000	Line 7
Nonhyeon	37.511096	127.021356	2000	Line 7
Banpo	37.50816	127.011695	2000	Line 7
ExpressBusTerminal	37.503492	127.004684	2000	Line 7
Naebang	37.487633	126.993563	2000	Line 7
Isu-ChongshinUniversity	37.485394	126.982158	2000	Line 7
Namseong	37.484602	126.971247	2000	Line 7
SoongsilUniversity	37.496274	126.953609	2000	Line 7
Sangdo	37.502845	126.947885	2000	Line 7
Jangseungbaegi	37.504747	126.938851	2000	Line 7
Sindaebangsamgeori	37.499691	126.928214	2000	Line 7
Boramae	37.4999	126.920248	2000	Line 7
Sinpung	37.50007	126.909921	2000	Line 7
Daerim	37.493333	126.895	2000	Line 7
Namguro	37.486331	126.887476	2000	Line 7
GasanDigitalComplex	37.480465	126.88304	2000	Line 7
Cheolsan	37.476097	126.868004	2000	Line 7
Gwangmyeongsageori	37.479252	126.854786	2000	Line 7
Cheonwang	37.486241	126.838961	2000	Line 7
Onsu	37.492171	126.822712	2000	Line 7
Amsa	37.550115	127.127513	1999	Line 8
Cheonho	37.538517	127.123767	1999	Line 8
Gangdong-guOffice	37.530387	127.120453	1999	Line 8
Mongchontoseong	37.5175	127.112417	1999	Line 8
Jamsil	37.513333	127.100278	1996	Line 8
Seokchon	37.505411	127.106946	1996	Line 8
Songpa	37.499785	127.112111	1996	Line 8
GarakMarket	37.493039	127.118281	1996	Line 8
Munjeong	37.485858	127.122486	1996	Line 8
Jangji	37.478042	127.126451	1996	Line 8
Bokjeong	37.470166	127.126676	1996	Line 8
Sanseong	37.457031	127.149909	1996	Line 8
Namhansanseong	37.45158	127.159817	1996	Line 8
Dandaeogeori	37.445085	127.156717	1996	Line 8
Sinheung	37.440958	127.147645	1996	Line 8
Sujin	37.437333	127.140554	1996	Line 8
Moran	37.433572	127.128848	1996	Line 8
Seolleung	37.50445	127.048986	2003	Bundang
Hanti	37.496244	127.052829	2003	Bundang
Dogok	37.490868	127.055351	2003	Bundang
Guryong	37.486888	127.059234	2003	Bundang
Gaepo-dong	37.489063	127.066026	2003	Bundang
Daemosan	37.491362	127.072694	2003	Bundang
Suseo	37.487305	127.101619	1994	Bundang
Bokjeong	37.470166	127.126676	1994	Bundang
KyungwonUniversity	37.447778	127.126944	1994	Bundang
Taepyeong	37.439444	127.128056	1994	Bundang
Moran	37.431389	127.129722	1994	Bundang
Yatap	37.411389	127.078056	1994	Bundang
Imae	37.395731	127.128367	1994	Bundang
Seohyeon	37.385117	127.123294	1994	Bundang
Sunae	37.378553	127.114275	1994	Bundang
Jeongja	37.366278	127.108122	1994	Bundang
Migeum	37.349978	127.10895	1994	Bundang
Ori	37.339775	127.108942	1994	Bundang
Jukjeon	37.324859	127.107477	2004	Bundang
Bojeong	37.316348	127.1079	2004	Bundang
Yongsan	37.53	126.964722	2005	Jungang
Ichon	37.52254	126.97316	2005	Jungang
Seobinggo	37.519569	126.988558	1980	Jungang
Hannam	37.529131	127.008097	1980	Jungang
Oksu	37.54061	127.01888	1985	Jungang
Eungbong	37.550833	127.035183	2005	Jungang
Wangsimni	37.561667	127.037778	2005	Jungang
Cheongnyangni	37.579167	127.046667	2005	Jungang
Hoegi	37.589167	127.057222	2005	Jungang
Jungnang	37.594984	127.076578	2005	Jungang
Sangbong	37.596892	127.085279	2005	Jungang
Mangu	37.5994	127.092161	2005	Jungang
Yangwon	37.60631	127.106951	2005	Jungang
Guri	37.603429	127.143831	2005	Jungang
Donong	37.608767	127.161115	2005	Jungang
Yangjeong	37.60458	127.19423	2005	Jungang
Deokso	37.586576	127.209304	2005	Jungang
Dosim	37.579672	127.222162	2007	Jungang
Paldang	37.547376	127.243438	2007	Jungang
Ungilsan	37.523418	127.296181	2008	Jungang
Yangsu	37.545849	127.328947	2008	Jungang
Sinwon	37.525856	127.372538	2008	Jungang
Guksu	37.51624	127.39943	2008	Jungang
Asin	37.513445	127.444668	2009	Jungang
Obin	37.502338	127.476044	2009	Jungang
Yangpyeong	37.492805	127.49181	2009	Jungang
Wondeok	37.468663	127.547128	2009	Jungang
Yongmun	37.482253	127.594743	2009	Jungang
Gajwa	37.568656	126.91525	2009	Gyeongui
DigitalMediaCity	37.576649	126.901413	2009	Gyeongui
Susaek	37.581761	126.893947	2009	Gyeongui
Hwajeon	37.603525	126.867714	2009	Gyeongui
Gangmae	37.61155	126.843531	2009	Gyeongui
Haengsin	37.611316	126.834117	2009	Gyeongui
Neunggok	37.620499	126.819005	2009	Gyeongui
Daegok	37.630875	126.810533	2009	Gyeongui
Goksan	37.645496	126.801893	2009	Gyeongui
Baengma	37.658295	126.794436	2009	Gyeongui
Pungsan	37.672183	126.786207	2009	Gyeongui
Ilsan	37.682564	126.76873	2009	Gyeongui
Tanhyeon	37.692264	126.761112	2009	Gyeongui
Unjeong	37.725252	126.767045	2009	Gyeongui
Geumneung	37.75647	126.764873	2009	Gyeongui
Geumchon	37.765855	126.773987	2009	Gyeongui
Wollong	37.795034	126.7925	2009	Gyeongui
Paju	37.815221	126.792808	2009	Gyeongui
Munsan	37.854576	126.788031	2009	Gyeongui
Gyeyang	37.571389	126.736389	2007	Incheon
Gyulhyeon	37.566347	126.742653	1999	Incheon
Bakchon	37.554217	126.745347	1999	Incheon
Imhak	37.54505	126.738722	1999	Incheon
Gyesan	37.543331	126.728522	1999	Incheon
GyeonginNationalUniversity	37.538603	126.722675	1999	Incheon
Jakjeon	37.530333	126.722575	1999	Incheon
Galsan	37.517266	126.721501	1999	Incheon
Bupyeong-guOffice	37.508432	126.720557	1999	Incheon
BupyeongMarket	37.498338	126.722231	1999	Incheon
Bupyeong	37.489591	126.723387	1999	Incheon
Dongsu	37.48536	126.718336	1999	Incheon
Bupyeongsamgeori	37.477583	126.710182	1999	Incheon
Ganseogogeori	37.467067	126.707929	1999	Incheon
IncheonCityHall	37.457248	126.702189	1999	Incheon
ArtsCenter	37.449548	126.70102	1999	Incheon
IncheonBusTerminal	37.442266	126.699679	1999	Incheon
MunhakSportsComplex	37.434854	126.698542	1999	Incheon
Seonhak	37.427006	126.698978	1999	Incheon
Sinyeonsu	37.418042	126.693931	1999	Incheon
Woninjae	37.412406	126.687906	1999	Incheon
Dongchun	37.404147	126.680125	1999	Incheon
Dongmak	37.397889	126.673994	1999	Incheon
CampusTown	37.387873	126.661656	2009	Incheon
Technopark	37.382221	126.656302	2009	Incheon
BITZone	37.378086	126.64537	2009	Incheon
UniversityofIncheon	37.386032	126.639447	2009	Incheon
CentralPark	37.393124	126.634705	2009	Incheon
InternationalBusinessDistrict	37.400045	126.630263	2009	Incheon
